month,total,destroyed
2022-02,430,246
2022-03,1919,1187
2022-04,1177,856
2022-05,693,567
2022-06,409,356
2022-07,386,318
2022-08,365,286
2022-09,1184,505
2022-10,822,448
2022-11,753,504
2022-12,271,195
2023-01,262,198
2023-02,394,297
2023-03,330,291
2023-04,225,190
2023-05,302,242
2023-06,366,298
2023-07,415,355
2023-08,424,365
2023-09,360,322
2023-10,522,420
2023-11,344,278
2023-12,379,295
2024-01,413,324
2024-02,482,392
2024-03,556,479
2024-04,529,463
2024-05,578,535
2024-06,585,533
2024-07,484,449
2024-08,570,499
2024-09,543,486
2024-10,610,560
2024-11,570,511
2024-12,372,341
2025-01,355,312
2025-02,412,374
2025-03,418,369
2025-04,433,392
2025-05,290,252
2025-06,233,210
2025-07,195,175
2025-08,269,252
2025-09,205,186
2025-10,235,207
2025-11,171,156
2025-12,242,219
2026-01,103,96
2026-02,103,94
2026-03,197,178
2026-04,108,94
2026-05,176,165
2026-06,175,168
2026-07,144,134
2026-08,55,49
