region_en,region_ru,settlements,total_deaths_full
Bashkortostan,Республика Башкортостан,1728,9942
Tatarstan,Республика Татарстан,1314,8187
Sverdlovsk Oblast,Свердловская область,528,7425
Chelyabinsk Oblast,Челябинская область,562,6881
Krasnodar Krai,Краснодарский край,692,6674
Perm Krai,Пермский край,762,6353
Irkutsk Oblast,Иркутская область,579,5618
Moscow Oblast,Московская область,547,5536
Rostov Oblast,Ростовская область,727,5301
Krasnoyarsk Krai,Красноярский край,599,5270
Kemerovo Oblast,Кемеровская область,349,4934
Saratov Oblast,Саратовская область,649,4933
Buryatia,Республика Бурятия,430,4866
Altai Krai,Алтайский край,720,4533
Zabaykalsky Krai,Забайкальский край,435,4488
Volgograd Oblast,Волгоградская область,550,4327
Primorsky Krai,Приморский край,301,4122
Novosibirsk Oblast,Новосибирская область,525,4117
Orenburg Oblast,Оренбургская область,657,4078
Samara Oblast,Самарская область,454,4044
Moscow,Москва,15,3646
Omsk Oblast,Омская область,547,3556
Stavropol Krai,Ставропольский край,362,3436
Nizhny Novgorod Oblast,Нижегородская область,512,3421
Udmurtia,Удмуртская Республика,480,3401
Kirov Oblast,Кировская область,518,3208
Voronezh Oblast,Воронежская область,514,2958
Sakha (Yakutia),Республика Саха (Якутия),323,2749
Tyumen Oblast,Тюменская область,399,2511
Khanty-Mansi AO – Yugra,Ханты-Мансийский автономный округ - Югра,119,2430
Ulyanovsk Oblast,Ульяновская область,361,2392
Saint Petersburg,Санкт-Петербург,20,2359
Penza Oblast,Пензенская область,341,2331
Arkhangelsk Oblast,Архангельская область,317,2286
Belgorod Oblast,Белгородская область,393,2173
Dagestan,Республика Дагестан,506,2148
Tomsk Oblast,Томская область,243,2117
Kurgan Oblast,Курганская область,356,2058
Komi,Республика Коми,243,2016
Khabarovsk Krai,Хабаровский край,183,2008
Vologda Oblast,Вологодская область,360,1898
Bryansk Oblast,Брянская область,360,1896
Tver Oblast,Тверская область,372,1868
Chuvashia,Чувашская Республика,454,1853
Astrakhan Oblast,Астраханская область,215,1845
Crimea,Республика Крым,364,1811
Amur Oblast,Амурская область,245,1802
Tuva,Республика Тыва,118,1721
Leningrad Oblast,Ленинградская область,317,1699
Vladimir Oblast,Владимирская область,240,1684
Tambov Oblast,Тамбовская область,309,1550
Kaliningrad Oblast,Калининградская область,187,1520
Mari El,Республика Марий Эл,324,1519
Ivanovo Oblast,Ивановская область,175,1516
Lipetsk Oblast,Липецкая область,310,1452
Khakassia,Республика Хакасия,161,1429
Kursk Oblast,Курская область,362,1400
Tula Oblast,Тульская область,162,1392
North Ossetia-Alania,Республика Северная Осетия-Алания,90,1360
Karelia,Республика Карелия,166,1335
Sakhalin Oblast,Сахалинская область,95,1313
Kaluga Oblast,Калужская область,202,1255
Yaroslavl Oblast,Ярославская область,182,1236
Mordovia,Республика Мордовия,250,1159
Kostroma Oblast,Костромская область,179,1106
Pskov Oblast,Псковская область,211,1098
Ryazan Oblast,Рязанская область,224,1097
Yamalo-Nenets AO,Ямало-Ненецкий автономный округ,53,1095
Murmansk Oblast,Мурманская область,41,1068
Donetsk PR (occupied),ДНР,76,1056
Smolensk Oblast,Смоленская область,203,1033
Novgorod Oblast,Новгородская область,200,1025
Oryol Oblast,Орловская область,250,981
Altai Republic,Республика Алтай,149,873
Kamchatka Krai,Камчатский край,58,844
Luhansk PR (occupied),ЛНР,90,726
Kabardino-Balkaria,Кабардино-Балкарская Республика,94,658
Sevastopol,Севастополь,7,589
Kalmykia,Республика Калмыкия,88,552
Adygea,Республика Адыгея,81,504
Karachay-Cherkessia,Республика Карачаево-Черкесия,87,450
Chechnya,Чеченская Республика,106,446
Magadan Oblast,Магаданская область,27,425
Jewish AO,Еврейская автономная область,55,361
Chukotka AO,Чукотский автономный округ,33,267
Ingushetia,Республика Ингушетия,32,185
Nenets AO,Ненецкий автономный округ,19,125
Baikonur,Байконур,1,4
