region_en,region_ru,settlement_type,settlement_en,settlement_ru,lat,lon,deaths,district_ru
Moscow,Москва,City,Moskva,город Москва,55.756,37.618,3437,
Moscow,Москва,City,Zelenograd,город Зеленоград,55.992,37.214,41,
Moscow,Москва,City,Moskovskiy,город Московский,55.597,37.359,1,Новомосковский административный округ
Moscow,Москва,City,Shcherbinka,город Щербинка,55.509,37.563,1,Новомосковский административный округ
Moscow,Москва,,dachnyy poselok Kokoshkino,дачный поселок Кокошкино,55.598,37.172,1,
Moscow,Москва,Village,Vasyunino,деревня Васюнино,55.239,37.009,1,Троицкий административный округ
Moscow,Москва,Village,Yakovlevo,деревня Яковлево,55.48,37.391,1,Новомосковский административный округ
Moscow,Москва,Settlement,Akulovo,поселок Акулово,56.007,37.796,1,
Moscow,Москва,Settlement,Voskresenskoe,поселок Воскресенское,55.53,37.446,1,
Moscow,Москва,Settlement,Ptichnoe,поселок Птичное,55.525,37.222,1,Троицкий административный округ
Moscow,Москва,Settlement,Rublevo,поселок Рублево,55.786,37.356,1,
Moscow,Москва,Settlement,Tolstopaltsevo,поселок Толстопальцево,55.613,37.211,1,
Moscow,Москва,Settlement,zavoda Mosrentgen,поселок завода Мосрентген,55.621,37.474,1,Новомосковский административный округ
Moscow,Москва,Village,Mikhaylovskoe,село Михайловское,55.408,37.168,1,Троицкий административный округ
Saint Petersburg,Санкт-Петербург,City,Sankt-Peterburg,город Санкт-Петербург,59.939,30.316,2133,
Saint Petersburg,Санкт-Петербург,City,Kolpino,город Колпино,59.749,30.596,45,
Saint Petersburg,Санкт-Петербург,City,Kronshtadt,город Кронштадт,59.992,29.776,13,
Saint Petersburg,Санкт-Петербург,Settlement,Shushary,поселок Шушары,59.807,30.38,11,
Saint Petersburg,Санкт-Петербург,City,Petergof,город Петергоф,59.881,29.907,10,
Saint Petersburg,Санкт-Петербург,City,Zelenogorsk,город Зеленогорск,60.198,29.707,2,
Saint Petersburg,Санкт-Петербург,City,Krasnoe Selo,город Красное Село,59.734,30.086,3,
Saint Petersburg,Санкт-Петербург,City,Lomonosov,город Ломоносов,59.911,29.776,3,
Saint Petersburg,Санкт-Петербург,City,Pavlovsk,город Павловск,59.686,30.433,5,
Saint Petersburg,Санкт-Петербург,City,Pushkin,город Пушкин,59.722,30.417,9,
Saint Petersburg,Санкт-Петербург,City,Sestroretsk,город Сестрорецк,60.093,29.972,6,
Saint Petersburg,Санкт-Петербург,Settlement,Aleksandrovskaya,поселок Александровская,59.733,30.342,1,
Saint Petersburg,Санкт-Петербург,Settlement,Levashovo,поселок Левашово,60.104,30.206,1,
Saint Petersburg,Санкт-Петербург,Settlement,Metallostroy,поселок Металлострой,59.808,30.574,1,
Saint Petersburg,Санкт-Петербург,Settlement,Pesochnyy,поселок Песочный,60.124,30.16,5,
Saint Petersburg,Санкт-Петербург,Settlement,Pontonnyy,поселок Понтонный,59.783,30.636,1,
Saint Petersburg,Санкт-Петербург,Settlement,Repino,поселок Репино,60.168,29.861,1,
Saint Petersburg,Санкт-Петербург,Settlement,Strelna,поселок Стрельна,59.853,30.034,1,
Saint Petersburg,Санкт-Петербург,Settlement,Tyarlevo,поселок Тярлево,59.702,30.445,1,
Adygea,Республика Адыгея,City,Maykop,город Майкоп,44.61,40.101,164,
Adygea,Республика Адыгея,Urban-type settlement,Yablonovskiy,пгт Яблоновский,44.981,38.936,22,
Adygea,Республика Адыгея,Urban-type settlement,Enem,пгт Энем,44.926,38.911,17,
Adygea,Республика Адыгея,Stanitsa,Giaginskaya,станица Гиагинская,44.885,40.058,15,
Adygea,Республика Адыгея,Settlement,Tulskiy,поселок Тульский,44.51,40.172,11,
Adygea,Республика Адыгея,Aul,Afipsip,аул Афипсип,44.996,38.778,1,
Adygea,Республика Адыгея,Aul,Gabukay,аул Габукай,44.928,39.565,1,
Adygea,Республика Адыгея,Aul,Koshekhabl,аул Кошехабль,44.9,40.503,1,
Adygea,Республика Адыгея,Aul,Mamkheg,аул Мамхег,45.007,40.221,1,
Adygea,Республика Адыгея,Aul,Novobzhegokay,аул Новобжегокай,44.932,38.839,3,
Adygea,Республика Адыгея,Aul,Ponezhukay,аул Понежукай,44.887,39.383,3,
Adygea,Республика Адыгея,Aul,Pchegatlukay,аул Пчегатлукай,44.883,39.265,1,
Adygea,Республика Адыгея,Aul,Khakurinokhabl,аул Хакуринохабль,45.019,40.236,1,
Adygea,Республика Адыгея,Aul,Khatazhukay,аул Хатажукай,45.071,40.187,1,
Adygea,Республика Адыгея,Aul,Khatukay,аул Хатукай,45.189,39.664,1,
Adygea,Республика Адыгея,Aul,Shendzhiy,аул Шенджий,44.883,39.065,3,
Adygea,Республика Адыгея,City,Adygeysk,город Адыгейск,44.878,39.19,7,
Adygea,Республика Адыгея,Urban-type settlement,Tlyustenkhabl,пгт Тлюстенхабль,44.982,39.096,3,
Adygea,Республика Адыгея,Settlement,Goncharka,поселок Гончарка,44.806,39.957,1,
Adygea,Республика Адыгея,Settlement,Druzhba,поселок Дружба,44.928,40.37,1,
Adygea,Республика Адыгея,Settlement,Druzhnyy,поселок Дружный,44.956,38.893,1,
Adygea,Республика Адыгея,Settlement,Zarevo,поселок Зарево,45.001,40.079,3,
Adygea,Республика Адыгея,Settlement,Kamennomostskiy,поселок Каменномостский,44.312,40.193,7,
Adygea,Республика Адыгея,Settlement,Krasnooktyabrskiy,поселок Краснооктябрьский,44.579,40.077,3,
Adygea,Республика Адыгея,Settlement,Lesnoy,поселок Лесной,44.798,40.186,1,Гиагинский р-н
Adygea,Республика Адыгея,Settlement,Mayskiy,поселок Майский,44.776,40.55,2,
Adygea,Республика Адыгея,Settlement,Naberezhnyy,поселок Набережный,45.212,39.63,1,
Adygea,Республика Адыгея,Settlement,Novyy,поселок Новый,45.005,38.977,1,Тахтамукайский р-н
Adygea,Республика Адыгея,Settlement,Novyy,поселок Новый,44.935,40.176,1,Гиагинский р-н
Adygea,Республика Адыгея,Settlement,Pervomayskiy,поселок Первомайский,44.407,40.184,3,
Adygea,Республика Адыгея,Settlement,Pobeda,поселок Победа,44.562,40.144,1,Майкопский р-н
Adygea,Республика Адыгея,Settlement,Prikubanskiy,поселок Прикубанский,44.954,39.026,3,
Adygea,Республика Адыгея,Settlement,Sadovyy,поселок Садовый,44.449,40.145,1,
